Year,Country,Top Operator,Revenue
2020,Myanmar,Myanma Posts and Telecommunications,115.45400000000001
2020,Sri Lanka,Dialog Telekom Sri Lanka LKADG,113.46800000000002
2020,Croatia,A1 HR,108.05300000000001
2020,Israel,Cellcom Israel Ltd.,102.312
2020,Turkey,Turkcell Turkey(TURTC),93.923
2020,Kuwait,ZAIN (Mobile Telecommunications Company),86.326
2020,Norway,TeliaSonera Norge AS,69.633
2020,Brazil,"VIVO SA Brazil,BRAV3",68.5
2020,Nepal,Ncell Private Limited,59.0
2020,Oman,Oman Telecomunications Company,57.618
2020,South Africa,Vodacom South Africa,53.435
2020,Bangladesh,Grameen phone Bangladesh,50.87100000000001
2020,Estonia,Tele2 Sverige AB,46.05499999999999
2020,Poland,PTK Centertel-Poland,30.5
2020,Denmark,TDC-Denmark,27.433
2020,Czech Republic,T-Mobile Czech Republic,23.625
2020,Pakistan,Pakistan Mobile Communications Limited,16.5
2020,Portugal,Vodafone Portugal,15.964000000000002
2020,Finland,Elisa Corporation Finland FINRL,15.0
2020,Romania,Vodafone Romania(ROMMF),12.581
2020,New Zealand,Telecom New Zealand Limited,12.344999999999999
2020,Slovakia,Orange Slovakia(SVKGT),9.0
2020,Bulgaria,Mobiltel EAD- Bulgaria,5.599
2020,Saudi Arabia,STC- Saudi Arabia,3.575999999999999
2020,Maldives,Dhivehi Raajjeyge Gulhun Private Limited,3.5
2020,Hungary,Vodafone Hungary,2.607
2020,Ghana,Vodafone Ghana,2.54
2020,Malta,Vodafone Malta(MLTTL),2.147
2020,Taiwan,Taiwan Mobile,1.1
2020,Luxembourg,Tango SA,0.194
2020,Afghanistan,Roshan Afghanistan(AFGTD),0.0
2020,Albania,Vodafone Albania Sh.A,0.0
2020,Egypt,Etisalat Misr-Egypt,0.0
2020,Lebanon,TOUCH Lebanon,0.0
2020,Lithuania,Omnitel,0.0
2020,Macau,CTM Macau,0.0
2020,Panama,Telefonica Panama,0.0
2020,Puerto Rico,Claro-Puerto Rico(PRICL),0.0
2021,Japan,"NTT DOCOMO, Inc. Japan",2279.688
2021,United States,"Cingular Wireless,USACG",1481.603
2021,India,"Bharti Airtel, India (Punjab)",884.674
2021,Australia,Vodafone Hutchison Australia,532.2349999999999
2021,Switzerland,"Swisscom,Switzerland",432.20099999999996
2021,South Korea,KT Corporation,354.6700000000001
2021,Germany,T-Mobile Deutschland GmbH,208.50799999999998
2021,Austria,A1 Telekom Austria AG,174.964
2021,Spain,Telefonica SP,138.07499999999996
2021,Indonesia,"PT Telekomunikasi Selular, Indonesia",129.288
2021,Qatar,Q-Tel Qatar,126.87699999999998
2021,Estonia,Tele2 Sverige AB,104.32
2021,Sweden,Telenor Sweden(SWEEP),93.713
2021,Kuwait,ZAIN (Mobile Telecommunications Company),66.089
2021,China,China Mobile,60.78399999999999
2021,Netherlands,Vodafone Netherlands,54.361
2021,France,Orange France,52.899
2021,Finland,TELIASONERA FINLAND OYJ,43.0
2021,Singapore,"SingTel, Singapore(GSM900/3G)",40.223
2021,Philippines,Smart Communication-Philippines,39.254
2021,Thailand,Advanced Wireless Network Company Limited,37.479
2021,Sri Lanka,Dialog Telekom Sri Lanka LKADG,24.633
2021,Canada,Fido Solutions Inc. Canada,18.478
2021,Malaysia,Maxis Mobile Services Sdn Bhd,14.710999999999993
2021,Egypt,Etisalat Misr-Egypt,13.0
2021,Bangladesh,Grameen phone Bangladesh,12.26
2021,Pakistan,Pakistan Mobile Communications Limited,11.797
2021,Czech Republic,T-Mobile Czech Republic,9.04
2021,Hungary,Vodafone Hungary,8.51
2021,Vietnam,Vietnam Mobile Mobifone(VNMMO),8.0
2021,Ghana,Vodafone Ghana,7.686
2021,Poland,PTK Centertel-Poland,6.5
2021,Belgium,Belgacom Mobile Belgium,6.349000000000002
2021,Malta,Vodafone Malta(AAZVF),4.519000000000001
2021,Myanmar,Telenor-Myanmar,4.478
2021,United Kingdom,Vodafone- UK GBRVF,4.144
2021,Italy,Vodafone Omnitel N.V-Italy,3.7159999999999997
2021,Nepal,Ncell Private Limited,3.5
2021,Mexico,Radiomovil Dipsa SA de C.V - Telcel,2.5
2021,South Africa,Vodacom South Africa,2.459
2021,New Zealand,Vodafone Mobile NZ Limited,2.332
2021,Oman,Oman Telecomunications Company,2.05
2021,Turkey,Vodafone Turkey(TURTS),1.311
2021,Ireland,Vodafone Ireland,0.37
2021,Denmark,Telenor Denmark(DNKDM),0.32
2021,Saudi Arabia,STC- Saudi Arabia,0.2
2021,Norway,Mobile Norway AS,0.039
2021,Afghanistan,Roshan Afghanistan(AFGTD),0.0
2021,Albania,Vodafone Albania Sh.A,0.0
2021,Argentina,Telefónica Móviles Argentina S.A.,0.0
2021,Brazil,"VIVO MG Brazil,BRATC",0.0
2021,Bulgaria,Mobiltel EAD- Bulgaria,0.0
2021,Croatia,A1 HR,0.0
2021,Hong Kong,Hong Kong CSL Ltd.,0.0
2021,Israel,Cellcom Israel Ltd.,0.0
2021,Latvia,Tele 2 Latvia LVABC,0.0
2021,Lebanon,TOUCH Lebanon,0.0
2021,Lithuania,Omnitel,0.0
2021,Luxembourg,Tango SA,0.0
2021,Macau,CTM Macau,0.0
2021,Maldives,Dhivehi Raajjeyge Gulhun Private Limited,0.0
2021,Panama,Telefonica Panama,0.0
2021,Portugal,Vodafone Portugal,0.0
2021,Puerto Rico,Claro-Puerto Rico(PRICL),0.0
2021,Romania,Orange Romania (ROMMR),0.0
2021,Russia,Mobile TeleSystem - MTS Russia,0.0
2021,Slovakia,Orange Slovakia(SVKGT),0.0
2021,Taiwan,Chunghwa Telecom-Taiwan TWNLD,0.0
